restaurant,category,rpi,wpi,temp_effect,pvs_normalized,dpi,dpi_rank,pricing_behavior
Faasos,rolls,7.32,17.33,5.02,100.0,78.0,1,Aggressive Dynamic
Wow! Momo,momos,-0.31,2.86,1.74,77.5,42.77,2,Low Dynamic
Taste of China,momos,0.0,0.0,0.0,46.56,23.28,3,Static Pricer
Darjeeling Kitchen,momos,0.0,0.0,13.55,26.25,22.16,4,Static Pricer
Biriyani Box,biryani,0.0,3.7,2.66,18.44,14.69,5,Static Pricer
Kake Di Hatti,paneer,9.01,0.0,-5.73,7.19,12.61,6,Static Pricer
Behrouz Biryani,biryani,2.8,4.62,1.61,4.38,10.68,7,Static Pricer
Burger Singh,fried_chicken,-24.43,-21.32,-15.79,7.19,3.6,8,Static Pricer
Mughlai House,biryani,0.0,-13.24,-13.24,0.31,0.16,9,Static Pricer
Kake Da Minar,paneer,0.0,0.0,0.0,0.0,0.0,10,Static Pricer
Bob's Momo,momos,0.0,0.0,0.0,0.0,0.0,10,Static Pricer
KFC,fried_chicken,0.0,0.0,0.0,0.0,0.0,10,Static Pricer
Rolls World,rolls,0.0,0.0,0.0,0.0,0.0,10,Static Pricer
Biryani By Kilo,biryani,0.0,0.0,0.0,0.0,0.0,10,Static Pricer
Truptee Legacy,paneer,0.0,0.0,0.0,0.0,0.0,10,Static Pricer
Biggies Burger,fried_chicken,0.0,0.0,0.0,0.0,0.0,10,Static Pricer
Burnt,momos,0.0,0.0,0.0,0.0,0.0,10,Static Pricer
Zam Zam Grills,rolls,0.0,0.0,0.0,0.0,0.0,10,Static Pricer
Burger King,fried_chicken,0.0,0.0,0.0,0.0,0.0,10,Static Pricer
