restaurant,restaurant_category,hour_of_day,total_change_events,avg_price_change_pct
Behrouz Biryani,biryani,10,0,0.0
Behrouz Biryani,biryani,11,0,0.0
Behrouz Biryani,biryani,12,0,0.0
Behrouz Biryani,biryani,13,0,0.0
Behrouz Biryani,biryani,14,0,0.0
Behrouz Biryani,biryani,15,0,0.0
Behrouz Biryani,biryani,16,1,4.62
Behrouz Biryani,biryani,17,0,0.0
Behrouz Biryani,biryani,18,0,0.0
Behrouz Biryani,biryani,19,0,0.0
Behrouz Biryani,biryani,20,0,0.0
Behrouz Biryani,biryani,21,0,0.0
Behrouz Biryani,biryani,22,0,0.0
Biggies Burger,fried_chicken,10,0,0.0
Biggies Burger,fried_chicken,11,0,0.0
Biggies Burger,fried_chicken,12,0,0.0
Biggies Burger,fried_chicken,13,0,0.0
Biggies Burger,fried_chicken,14,0,0.0
Biggies Burger,fried_chicken,15,0,0.0
Biggies Burger,fried_chicken,16,0,0.0
Biggies Burger,fried_chicken,17,0,0.0
Biggies Burger,fried_chicken,18,0,0.0
Biggies Burger,fried_chicken,19,0,0.0
Biggies Burger,fried_chicken,20,0,0.0
Biggies Burger,fried_chicken,21,0,0.0
Biggies Burger,fried_chicken,22,0,0.0
Biriyani Box,biryani,10,0,0.0
Biriyani Box,biryani,11,0,0.0
Biriyani Box,biryani,12,1,4.71
Biriyani Box,biryani,13,0,0.0
Biriyani Box,biryani,14,2,-4.49
Biriyani Box,biryani,15,0,0.0
Biriyani Box,biryani,16,1,21.54
Biriyani Box,biryani,17,0,0.0
Biriyani Box,biryani,18,0,0.0
Biriyani Box,biryani,19,0,0.0
Biriyani Box,biryani,20,1,21.54
Biriyani Box,biryani,21,0,0.0
Biriyani Box,biryani,22,2,-17.72
Biryani By Kilo,biryani,10,0,0.0
Biryani By Kilo,biryani,11,0,0.0
Biryani By Kilo,biryani,12,0,0.0
Biryani By Kilo,biryani,13,0,0.0
Biryani By Kilo,biryani,14,0,0.0
Biryani By Kilo,biryani,15,0,0.0
Biryani By Kilo,biryani,16,0,0.0
Biryani By Kilo,biryani,17,0,0.0
Biryani By Kilo,biryani,18,0,0.0
Biryani By Kilo,biryani,19,0,0.0
Biryani By Kilo,biryani,20,0,0.0
Biryani By Kilo,biryani,21,0,0.0
Biryani By Kilo,biryani,22,0,0.0
Bob's Momo,momos,10,0,0.0
Bob's Momo,momos,11,0,0.0
Bob's Momo,momos,12,0,0.0
Bob's Momo,momos,13,0,0.0
Bob's Momo,momos,14,0,0.0
Bob's Momo,momos,15,0,0.0
Bob's Momo,momos,16,0,0.0
Bob's Momo,momos,17,0,0.0
Bob's Momo,momos,18,0,0.0
Bob's Momo,momos,19,0,0.0
Bob's Momo,momos,20,0,0.0
Bob's Momo,momos,21,0,0.0
Bob's Momo,momos,22,0,0.0
Burger King,fried_chicken,10,0,0.0
Burger King,fried_chicken,11,0,0.0
Burger King,fried_chicken,12,0,0.0
Burger King,fried_chicken,13,0,0.0
Burger King,fried_chicken,14,0,0.0
Burger King,fried_chicken,15,0,0.0
Burger King,fried_chicken,16,0,0.0
Burger King,fried_chicken,17,0,0.0
Burger King,fried_chicken,18,0,0.0
Burger King,fried_chicken,19,0,0.0
Burger King,fried_chicken,20,0,0.0
Burger King,fried_chicken,21,0,0.0
Burger King,fried_chicken,22,0,0.0
Burger Singh,fried_chicken,10,0,0.0
Burger Singh,fried_chicken,11,0,0.0
Burger Singh,fried_chicken,12,11,-20.08
Burger Singh,fried_chicken,13,0,0.0
Burger Singh,fried_chicken,14,1,-20.08
Burger Singh,fried_chicken,15,0,0.0
Burger Singh,fried_chicken,16,0,0.0
Burger Singh,fried_chicken,17,0,0.0
Burger Singh,fried_chicken,18,0,0.0
Burger Singh,fried_chicken,19,0,0.0
Burger Singh,fried_chicken,20,0,0.0
Burger Singh,fried_chicken,21,0,0.0
Burger Singh,fried_chicken,22,0,0.0
Burnt,momos,10,0,0.0
Burnt,momos,11,0,0.0
Burnt,momos,12,0,0.0
Burnt,momos,13,0,0.0
Burnt,momos,14,0,0.0
Burnt,momos,15,0,0.0
Burnt,momos,16,0,0.0
Burnt,momos,17,0,0.0
Burnt,momos,18,0,0.0
Burnt,momos,19,0,0.0
Burnt,momos,20,0,0.0
Burnt,momos,21,0,0.0
Burnt,momos,22,0,0.0
Darjeeling Kitchen,momos,10,0,0.0
Darjeeling Kitchen,momos,11,0,0.0
Darjeeling Kitchen,momos,12,0,0.0
Darjeeling Kitchen,momos,13,0,0.0
Darjeeling Kitchen,momos,14,0,0.0
Darjeeling Kitchen,momos,15,0,0.0
Darjeeling Kitchen,momos,16,0,0.0
Darjeeling Kitchen,momos,17,0,0.0
Darjeeling Kitchen,momos,18,0,0.0
Darjeeling Kitchen,momos,19,0,0.0
Darjeeling Kitchen,momos,20,0,0.0
Darjeeling Kitchen,momos,21,0,0.0
Darjeeling Kitchen,momos,22,0,0.0
Faasos,rolls,10,0,0.0
Faasos,rolls,11,0,0.0
Faasos,rolls,12,9,8.9
Faasos,rolls,13,0,0.0
Faasos,rolls,14,40,9.3
Faasos,rolls,15,2,9.12
Faasos,rolls,16,1,-38.2
Faasos,rolls,17,0,0.0
Faasos,rolls,18,126,4.86
Faasos,rolls,19,0,0.0
Faasos,rolls,20,3,-28.21
Faasos,rolls,21,1,-8.24
Faasos,rolls,22,9,8.9
Kake Da Minar,paneer,10,0,0.0
Kake Da Minar,paneer,11,0,0.0
Kake Da Minar,paneer,12,0,0.0
Kake Da Minar,paneer,13,0,0.0
Kake Da Minar,paneer,14,0,0.0
Kake Da Minar,paneer,15,0,0.0
Kake Da Minar,paneer,16,0,0.0
Kake Da Minar,paneer,17,0,0.0
Kake Da Minar,paneer,18,0,0.0
Kake Da Minar,paneer,19,0,0.0
Kake Da Minar,paneer,20,0,0.0
Kake Da Minar,paneer,21,0,0.0
Kake Da Minar,paneer,22,0,0.0
Kake Di Hatti,paneer,10,0,0.0
Kake Di Hatti,paneer,11,0,0.0
Kake Di Hatti,paneer,12,0,0.0
Kake Di Hatti,paneer,13,0,0.0
Kake Di Hatti,paneer,14,0,0.0
Kake Di Hatti,paneer,15,0,0.0
Kake Di Hatti,paneer,16,1,-5.73
Kake Di Hatti,paneer,17,0,0.0
Kake Di Hatti,paneer,18,0,0.0
Kake Di Hatti,paneer,19,0,0.0
Kake Di Hatti,paneer,20,11,8.59
Kake Di Hatti,paneer,21,0,0.0
Kake Di Hatti,paneer,22,0,0.0
KFC,fried_chicken,10,0,0.0
KFC,fried_chicken,11,0,0.0
KFC,fried_chicken,12,0,0.0
KFC,fried_chicken,13,0,0.0
KFC,fried_chicken,14,0,0.0
KFC,fried_chicken,15,0,0.0
KFC,fried_chicken,16,0,0.0
KFC,fried_chicken,17,0,0.0
KFC,fried_chicken,18,0,0.0
KFC,fried_chicken,19,0,0.0
KFC,fried_chicken,20,0,0.0
KFC,fried_chicken,21,0,0.0
KFC,fried_chicken,22,0,0.0
Mughlai House,biryani,10,0,0.0
Mughlai House,biryani,11,0,0.0
Mughlai House,biryani,12,0,0.0
Mughlai House,biryani,13,0,0.0
Mughlai House,biryani,14,0,0.0
Mughlai House,biryani,15,0,0.0
Mughlai House,biryani,16,0,0.0
Mughlai House,biryani,17,0,0.0
Mughlai House,biryani,18,0,0.0
Mughlai House,biryani,19,0,0.0
Mughlai House,biryani,20,0,0.0
Mughlai House,biryani,21,0,0.0
Mughlai House,biryani,22,0,0.0
Rolls World,rolls,10,0,0.0
Rolls World,rolls,11,0,0.0
Rolls World,rolls,12,0,0.0
Rolls World,rolls,13,0,0.0
Rolls World,rolls,14,0,0.0
Rolls World,rolls,15,0,0.0
Rolls World,rolls,16,0,0.0
Rolls World,rolls,17,0,0.0
Rolls World,rolls,18,0,0.0
Rolls World,rolls,19,0,0.0
Rolls World,rolls,20,0,0.0
Rolls World,rolls,21,0,0.0
Rolls World,rolls,22,0,0.0
Taste of China,momos,10,0,0.0
Taste of China,momos,11,0,0.0
Taste of China,momos,12,0,0.0
Taste of China,momos,13,0,0.0
Taste of China,momos,14,0,0.0
Taste of China,momos,15,0,0.0
Taste of China,momos,16,0,0.0
Taste of China,momos,17,0,0.0
Taste of China,momos,18,0,0.0
Taste of China,momos,19,0,0.0
Taste of China,momos,20,0,0.0
Taste of China,momos,21,0,0.0
Taste of China,momos,22,0,0.0
Truptee Legacy,paneer,10,0,0.0
Truptee Legacy,paneer,11,0,0.0
Truptee Legacy,paneer,12,0,0.0
Truptee Legacy,paneer,13,0,0.0
Truptee Legacy,paneer,14,0,0.0
Truptee Legacy,paneer,15,0,0.0
Truptee Legacy,paneer,16,0,0.0
Truptee Legacy,paneer,17,0,0.0
Truptee Legacy,paneer,18,0,0.0
Truptee Legacy,paneer,19,0,0.0
Truptee Legacy,paneer,20,0,0.0
Truptee Legacy,paneer,21,0,0.0
Truptee Legacy,paneer,22,0,0.0
Wow! Momo,momos,10,2,-11.14
Wow! Momo,momos,11,2,15.52
Wow! Momo,momos,12,13,4.94
Wow! Momo,momos,13,0,0.0
Wow! Momo,momos,14,13,0.06
Wow! Momo,momos,15,2,12.81
Wow! Momo,momos,16,18,1.72
Wow! Momo,momos,17,1,-23.33
Wow! Momo,momos,18,11,6.6
Wow! Momo,momos,19,2,25.51
Wow! Momo,momos,20,13,-2.67
Wow! Momo,momos,21,2,15.52
Wow! Momo,momos,22,12,5.05
Zam Zam Grills,rolls,10,0,0.0
Zam Zam Grills,rolls,11,0,0.0
Zam Zam Grills,rolls,12,0,0.0
Zam Zam Grills,rolls,13,0,0.0
Zam Zam Grills,rolls,14,0,0.0
Zam Zam Grills,rolls,15,0,0.0
Zam Zam Grills,rolls,16,0,0.0
Zam Zam Grills,rolls,17,0,0.0
Zam Zam Grills,rolls,18,0,0.0
Zam Zam Grills,rolls,19,0,0.0
Zam Zam Grills,rolls,20,0,0.0
Zam Zam Grills,rolls,21,0,0.0
Zam Zam Grills,rolls,22,0,0.0
