restaurant,category,cool_records,normal_records,hot_records,avg_price_hot,avg_price_normal,temp_effect_score,significant,verdict
Behrouz Biryani,biryani,0,0,6,0.85,0.0,0.85,True,Price rises in heat
Biggies Burger,fried_chicken,0,0,0,0.0,0.0,0.0,False,No significant change
Biriyani Box,biryani,0,2,7,3.69,-11.11,3.69,True,Price rises in heat
Biryani By Kilo,biryani,0,0,0,0.0,0.0,0.0,False,No significant change
Bob's Momo,momos,0,0,0,0.0,0.0,0.0,False,No significant change
Burger King,fried_chicken,0,0,0,0.0,0.0,0.0,False,No significant change
Burger Singh,fried_chicken,0,0,23,-15.79,0.0,-15.79,True,Price drops in heat
Burnt,momos,0,0,0,0.0,0.0,0.0,False,No significant change
Darjeeling Kitchen,momos,0,0,84,13.55,0.0,13.55,True,Price rises in heat
Faasos,rolls,0,38,183,6.27,3.65,6.27,True,Price rises in heat
Kake Da Minar,paneer,0,0,0,0.0,0.0,0.0,False,No significant change
Kake Di Hatti,paneer,0,11,1,-5.73,8.59,-5.73,False,No significant change
KFC,fried_chicken,0,0,0,0.0,0.0,0.0,False,No significant change
Mughlai House,biryani,0,0,1,-13.24,0.0,-13.24,False,No significant change
Rolls World,rolls,0,0,0,0.0,0.0,0.0,False,No significant change
Taste of China,momos,0,0,0,0.0,0.0,0.0,False,No significant change
Truptee Legacy,paneer,0,0,0,0.0,0.0,0.0,False,No significant change
Wow! Momo,momos,0,49,81,2.19,2.62,2.19,True,Price rises in heat
Zam Zam Grills,rolls,0,0,0,0.0,0.0,0.0,False,No significant change
