restaurant,category,weekend_records,weekday_records,avg_change_weekend,avg_change_weekday,wpi,significant,verdict
Behrouz Biryani,biryani,10,42,7.74,0.93,7.74,True,Weekend premium confirmed
Biggies Burger,fried_chicken,0,0,0.0,0.0,0.0,False,No significant change
Biriyani Box,biryani,24,45,2.17,2.85,2.17,True,Weekend premium confirmed
Biryani By Kilo,biryani,0,0,0.0,0.0,0.0,False,No significant change
Bob's Momo,momos,0,0,0.0,0.0,0.0,False,No significant change
Burger King,fried_chicken,0,0,0.0,0.0,0.0,False,No significant change
Burger Singh,fried_chicken,7,35,-21.32,-8.22,-21.32,True,Cheaper on weekends
Burnt,momos,0,0,0.0,0.0,0.0,False,No significant change
Darjeeling Kitchen,momos,0,213,0.0,0.38,0.0,False,No significant change
Faasos,rolls,37,447,14.38,4.93,14.38,True,Weekend premium confirmed
Kake Da Minar,paneer,0,0,0.0,0.0,0.0,False,No significant change
Kake Di Hatti,paneer,4,23,9.57,7.17,9.57,True,Weekend premium confirmed
KFC,fried_chicken,0,0,0.0,0.0,0.0,False,No significant change
Mughlai House,biryani,1,0,-13.24,0.0,-13.24,False,No significant change
Rolls World,rolls,0,0,0.0,0.0,0.0,False,No significant change
Taste of China,momos,0,149,0.0,14.65,0.0,False,No significant change
Truptee Legacy,paneer,0,0,0.0,0.0,0.0,False,No significant change
Wow! Momo,momos,103,282,2.59,2.22,2.59,True,Weekend premium confirmed
Zam Zam Grills,rolls,0,0,0.0,0.0,0.0,False,No significant change
